{'C': 0.001, 'coef0': 0.01, 'degree': 4, 'gamma': 100.0, 'kernel': 'poly'},99.03061224489797,68.8715953307393
{'C': 0.001, 'coef0': 0.1, 'degree': 1, 'gamma': 0.001, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.001, 'coef0': 0.1, 'degree': 1, 'gamma': 0.01, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.001, 'coef0': 0.1, 'degree': 1, 'gamma': 0.1, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.001, 'coef0': 0.1, 'degree': 1, 'gamma': 1.0, 'kernel': 'poly'},43.87755102040816,34.824902723735406
{'C': 0.001, 'coef0': 0.1, 'degree': 1, 'gamma': 10.0, 'kernel': 'poly'},93.31632653061224,66.14785992217898
{'C': 0.001, 'coef0': 0.1, 'degree': 1, 'gamma': 100.0, 'kernel': 'poly'},99.59183673469387,65.95330739299611
{'C': 0.001, 'coef0': 0.1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'},23.72448979591837,21.78988326848249
{'C': 0.001, 'coef0': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'},23.77551020408163,21.78988326848249
{'C': 0.001, 'coef0': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'},97.29591836734693,67.89883268482491
{'C': 0.001, 'coef0': 0.1, 'degree': 2, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.001, 'coef0': 0.1, 'degree': 2, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.001, 'coef0': 0.1, 'degree': 2, 'gamma': 100.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.001, 'coef0': 0.1, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'},23.8265306122449,21.98443579766537
{'C': 0.001, 'coef0': 0.1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'},71.47959183673468,57.58754863813229
{'C': 0.001, 'coef0': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 0.1, 'degree': 3, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 0.1, 'degree': 3, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 0.1, 'degree': 3, 'gamma': 100.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 0.1, 'degree': 4, 'gamma': 0.001, 'kernel': 'poly'},23.77551020408163,21.40077821011673
{'C': 0.001, 'coef0': 0.1, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'},99.03061224489797,68.67704280155642
{'C': 0.001, 'coef0': 0.1, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 0.1, 'degree': 4, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 0.1, 'degree': 4, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.001, 'coef0': 0.1, 'degree': 4, 'gamma': 100.0, 'kernel': 'poly'},99.03061224489797,68.8715953307393
{'C': 0.001, 'coef0': 1.0, 'degree': 1, 'gamma': 0.001, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.001, 'coef0': 1.0, 'degree': 1, 'gamma': 0.01, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.001, 'coef0': 1.0, 'degree': 1, 'gamma': 0.1, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.001, 'coef0': 1.0, 'degree': 1, 'gamma': 1.0, 'kernel': 'poly'},43.87755102040816,34.824902723735406
